NOC,Sport,Sport_Medal_Count,Total_Country_Medals,Specialization_Score
AFG,Taekwondo,2,2,1.0
AHO,Sailing,1,1,1.0
ALG,Athletics,9,17,0.5294117647058824
ANZ,Swimming,8,12,0.6666666666666666
ARG,Boxing,24,74,0.32432432432432434
ARM,Wrestling,8,16,0.5
AUS,Swimming,193,519,0.371868978805395
AUT,Alpine Skiing,114,326,0.3496932515337423
AZE,Wrestling,23,44,0.5227272727272727
BAH,Athletics,12,14,0.8571428571428571
BAR,Athletics,1,1,1.0
BDI,Athletics,2,2,1.0
BEL,Cycling,27,171,0.15789473684210525
BER,Boxing,1,1,1.0
BLR,Athletics,17,99,0.1717171717171717
BOH,Tennis,4,7,0.5714285714285714
BOT,Athletics,1,1,1.0
BRA,Judo,22,128,0.171875
BRN,Athletics,3,3,1.0
BUL,Wrestling,69,223,0.3094170403587444
CAN,Athletics,62,475,0.13052631578947368
CHI,Tennis,4,13,0.3076923076923077
CHN,Diving,69,595,0.11596638655462185
CIV,Taekwondo,2,3,0.6666666666666666
CMR,Athletics,2,5,0.4
COL,Cycling,6,28,0.21428571428571427
CRC,Swimming,4,4,1.0
CRO,Alpine Skiing,10,44,0.22727272727272727
CUB,Boxing,73,214,0.3411214953271028
CYP,Sailing,1,1,1.0
CZE,Canoeing,14,78,0.1794871794871795
DEN,Sailing,30,211,0.14218009478672985
DJI,Athletics,1,1,1.0
DOM,Athletics,3,7,0.42857142857142855
ECU,Athletics,2,2,1.0
EGY,Weightlifting,11,27,0.4074074074074074
ERI,Athletics,1,1,1.0
ESP,Sailing,19,150,0.12666666666666668
EST,Wrestling,11,41,0.2682926829268293
ETH,Athletics,53,53,1.0
EUN,Athletics,21,135,0.15555555555555556
FIJ,Rugby Sevens,1,1,1.0
FIN,Athletics,116,471,0.24628450106157113
FRA,Fencing,123,879,0.13993174061433447
FRG,Athletics,43,243,0.17695473251028807
GAB,Taekwondo,1,1,1.0
GBR,Athletics,212,919,0.2306855277475517
GDR,Athletics,109,519,0.21001926782273603
GEO,Wrestling,18,32,0.5625
GER,Athletics,112,1004,0.11155378486055777
GHA,Boxing,3,4,0.75
GRE,Athletics,36,151,0.23841059602649006
GRN,Athletics,2,2,1.0
GUA,Athletics,1,1,1.0
GUY,Boxing,1,1,1.0
HAI,Shooting,1,3,0.3333333333333333
HKG,Table Tennis,1,3,0.3333333333333333
HUN,Fencing,88,510,0.17254901960784313
INA,Badminton,19,30,0.6333333333333333
IND,Hockey,11,29,0.3793103448275862
IOA,Shooting,5,5,1.0
IRI,Wrestling,43,68,0.6323529411764706
IRL,Boxing,16,33,0.48484848484848486
IRQ,Weightlifting,1,1,1.0
ISL,Athletics,2,4,0.5
ISR,Judo,5,9,0.5555555555555556
ISV,Sailing,1,1,1.0
ITA,Fencing,127,722,0.17590027700831026
JAM,Athletics,75,76,0.9868421052631579
JOR,Taekwondo,1,1,1.0
JPN,Gymnastics,94,482,0.1950207468879668
KAZ,Boxing,22,77,0.2857142857142857
KEN,Athletics,93,100,0.93
KGZ,Wrestling,2,3,0.6666666666666666
KOR,Judo,43,316,0.1360759493670886
KOS,Judo,1,1,1.0
KSA,Equestrianism,2,3,0.6666666666666666
KUW,Shooting,2,2,1.0
LAT,Athletics,5,26,0.19230769230769232
LIB,Wrestling,3,4,0.75
LIE,Alpine Skiing,9,9,1.0
LTU,Athletics,5,25,0.2
LUX,Art Competitions,3,8,0.375
MAR,Athletics,19,23,0.8260869565217391
MAS,Badminton,8,11,0.7272727272727273
MDA,Weightlifting,2,7,0.2857142857142857
MEX,Diving,14,67,0.208955223880597
MGL,Wrestling,9,26,0.34615384615384615
MKD,Wrestling,1,1,1.0
MNE,Handball,1,1,1.0
MON,Art Competitions,1,1,1.0
MOZ,Athletics,2,2,1.0
MRI,Boxing,1,1,1.0
NAM,Athletics,4,4,1.0
NED,Speed Skating,105,407,0.257985257985258
NEP,Alpinism,1,1,1.0
NGR,Athletics,13,24,0.5416666666666666
NIG,Boxing,1,2,0.5
NOR,Cross Country Skiing,97,474,0.20464135021097046
NZL,Rowing,24,119,0.20168067226890757
PAK,Hockey,8,10,0.8
PAN,Athletics,3,3,1.0
PAR,Football,1,1,1.0
PER,Shooting,3,4,0.75
PHI,Boxing,5,10,0.5
POL,Athletics,57,310,0.18387096774193548
POR,Athletics,10,24,0.4166666666666667
PRK,Weightlifting,17,56,0.30357142857142855
PUR,Boxing,6,9,0.6666666666666666
QAT,Athletics,3,5,0.6
