NOC,Sport,Sport_Medal_Count,Total_Country_Medals,Specialization_Score
ETH,Athletics,53,53,1.0
JAM,Athletics,75,76,0.9868421052631579
KEN,Athletics,93,100,0.93
BAH,Athletics,12,14,0.8571428571428571
MAR,Athletics,19,23,0.8260869565217391
PAK,Hockey,8,10,0.8
TTO,Athletics,15,19,0.7894736842105263
MAS,Badminton,8,11,0.7272727272727273
ANZ,Swimming,8,12,0.6666666666666666
TUR,Wrestling,63,95,0.6631578947368421
INA,Badminton,19,30,0.6333333333333333
IRI,Wrestling,43,68,0.6323529411764706
GEO,Wrestling,18,32,0.5625
SVK,Canoeing,18,33,0.5454545454545454
NGR,Athletics,13,24,0.5416666666666666
ALG,Athletics,9,17,0.5294117647058824
AZE,Wrestling,23,44,0.5227272727272727
PHI,Boxing,5,10,0.5
ARM,Wrestling,8,16,0.5
IRL,Boxing,16,33,0.48484848484848486
THA,Boxing,14,30,0.4666666666666667
POR,Athletics,10,24,0.4166666666666667
UZB,Boxing,14,34,0.4117647058823529
EGY,Weightlifting,11,27,0.4074074074074074
URU,Rowing,4,10,0.4
VEN,Boxing,6,15,0.4
TUN,Athletics,5,13,0.38461538461538464
IND,Hockey,11,29,0.3793103448275862
AUS,Swimming,193,519,0.371868978805395
AUT,Alpine Skiing,114,326,0.3496932515337423
MGL,Wrestling,9,26,0.34615384615384615
CUB,Boxing,73,214,0.3411214953271028
TPE,Taekwondo,8,24,0.3333333333333333
ARG,Boxing,24,74,0.32432432432432434
RSA,Athletics,28,88,0.3181818181818182
BUL,Wrestling,69,223,0.3094170403587444
CHI,Tennis,4,13,0.3076923076923077
PRK,Weightlifting,17,56,0.30357142857142855
USA,Athletics,816,2823,0.28905419766206164
KAZ,Boxing,22,77,0.2857142857142857
EST,Wrestling,11,41,0.2682926829268293
NED,Speed Skating,105,407,0.257985257985258
FIN,Athletics,116,471,0.24628450106157113
GRE,Athletics,36,151,0.23841059602649006
GBR,Athletics,212,919,0.2306855277475517
CRO,Alpine Skiing,10,44,0.22727272727272727
ROU,Gymnastics,69,304,0.22697368421052633
COL,Cycling,6,28,0.21428571428571427
GDR,Athletics,109,519,0.21001926782273603
MEX,Diving,14,67,0.208955223880597
TCH,Gymnastics,35,171,0.2046783625730994
NOR,Cross Country Skiing,97,474,0.20464135021097046
NZL,Rowing,24,119,0.20168067226890757
LTU,Athletics,5,25,0.2
SRB,Water Polo,3,15,0.2
JPN,Gymnastics,94,482,0.1950207468879668
LAT,Athletics,5,26,0.19230769230769232
SLO,Alpine Skiing,7,38,0.18421052631578946
YUG,Wrestling,16,87,0.1839080459770115
POL,Athletics,57,310,0.18387096774193548
CZE,Canoeing,14,78,0.1794871794871795
FRG,Athletics,43,243,0.17695473251028807
ITA,Fencing,127,722,0.17590027700831026
HUN,Fencing,88,510,0.17254901960784313
BRA,Judo,22,128,0.171875
BLR,Athletics,17,99,0.1717171717171717
SUI,Alpine Skiing,58,346,0.1676300578034682
URS,Athletics,193,1197,0.16123642439431912
BEL,Cycling,27,171,0.15789473684210525
EUN,Athletics,21,135,0.15555555555555556
DEN,Sailing,30,211,0.14218009478672985
SWE,Athletics,92,657,0.1400304414003044
FRA,Fencing,123,879,0.13993174061433447
KOR,Judo,43,316,0.1360759493670886
UKR,Athletics,18,133,0.13533834586466165
RUS,Athletics,77,584,0.13184931506849315
CAN,Athletics,62,475,0.13052631578947368
ESP,Sailing,19,150,0.12666666666666668
CHN,Diving,69,595,0.11596638655462185
GER,Athletics,112,1004,0.11155378486055777
