NOC,Medal_Points
USA,5986
URS,2512
GER,1987
GBR,1817
FRA,1693
ITA,1459
SWE,1272
CHN,1257
RUS,1171
GDR,1068
HUN,1022
AUS,995
NOR,967
JPN,937
FIN,911
CAN,887
NED,790
SUI,684
KOR,650
AUT,614
ROU,575
POL,554
FRG,459
CUB,435
BUL,415
DEN,391
TCH,331
BEL,321
ESP,303
GRE,292
EUN,287
NZL,241
UKR,240
BRA,224
TUR,202
KEN,200
YUG,171
RSA,171
BLR,169
JAM,152
CZE,148
KAZ,142
ARG,141
IRI,125
MEX,117
ETH,106
PRK,104
CRO,90
EST,78
AZE,70
SVK,68
SLO,64
IRL,62
UZB,61
INA,56
IND,56
THA,56
GEO,54
EGY,49
COL,47
LAT,47
LTU,43
MAR,40
MGL,40
POR,40
NGR,38
TPE,37
ALG,31
TTO,30
BAH,28
SRB,27
ARM,25
CHI,24
ANZ,22
TUN,22
VEN,22
LUX,20
PAK,19
MAS,18
ZIM,18
SCG,17
URU,16
LIE,15
DOM,15
UGA,14
PHI,13
PUR,13
ISR,12
CMR,12
SGP,9
PER,9
MDA,9
VIE,9
NAM,8
IOA,8
BOH,8
CRC,7
TJK,7
LIB,6
BRN,6
CIV,6
QAT,6
ISL,6
SYR,6
HAI,6
HKG,6
BDI,5
PAN,5
GRN,5
ECU,5
GHA,5
UAE,4
SRI,4
KSA,4
TAN,4
SUR,4
KGZ,4
MOZ,4
NEP,3
JOR,3
FIJ,3
NIG,3
KOS,3
ZAM,3
UAR,3
SUD,2
TGA,2
BOT,2
AHO,2
AFG,2
CYP,2
KUW,2
GUA,2
ISV,2
GAB,2
WIF,2
SEN,2
MNE,2
PAR,2
BER,1
BAR,1
GUY,1
IRQ,1
ERI,1
DJI,1
MKD,1
MRI,1
MON,1
TOG,1
