NOC,0
USA,2823
URS,1197
GER,1004
GBR,919
FRA,879
ITA,722
SWE,657
CHN,595
RUS,584
GDR,519
AUS,519
HUN,510
JPN,482
CAN,475
NOR,474
FIN,471
NED,407
SUI,346
AUT,326
KOR,316
POL,310
ROU,304
FRG,243
BUL,223
CUB,214
DEN,211
BEL,171
TCH,171
GRE,151
ESP,150
EUN,135
UKR,133
BRA,128
NZL,119
KEN,100
BLR,99
TUR,95
RSA,88
YUG,87
CZE,78
KAZ,77
JAM,76
ARG,74
IRI,68
MEX,67
PRK,56
ETH,53
AZE,44
CRO,44
EST,41
SLO,38
UZB,34
IRL,33
SVK,33
GEO,32
INA,30
THA,30
IND,29
COL,28
EGY,27
MGL,26
LAT,26
LTU,25
POR,24
TPE,24
NGR,24
MAR,23
TTO,19
ALG,17
ARM,16
VEN,15
SRB,15
BAH,14
TUN,13
CHI,13
ANZ,12
MAS,11
PAK,10
PHI,10
URU,10
SCG,9
ISR,9
PUR,9
LIE,9
ZIM,8
LUX,8
DOM,7
MDA,7
UGA,7
BOH,7
IOA,5
QAT,5
SGP,5
CMR,5
TJK,4
NAM,4
PER,4
LIB,4
CRC,4
GHA,4
ISL,4
VIE,4
CIV,3
HKG,3
HAI,3
SYR,3
KGZ,3
BRN,3
PAN,3
KSA,3
UAR,2
UAE,2
TAN,2
AFG,2
BDI,2
WIF,2
GRN,2
KUW,2
MOZ,2
ECU,2
NIG,2
ZAM,2
SRI,2
SUR,2
AHO,1
BER,1
BOT,1
BAR,1
CYP,1
ERI,1
DJI,1
FIJ,1
GAB,1
JOR,1
KOS,1
IRQ,1
ISV,1
GUY,1
GUA,1
NEP,1
MON,1
SEN,1
PAR,1
MNE,1
MKD,1
MRI,1
TOG,1
SUD,1
TGA,1
